Customer Segment,Product Category,Region,dt,Sales
Consumer,Furniture,Central,01/01/2016,690.77
Consumer,Furniture,Central,02/01/2016,5303.17
Consumer,Furniture,Central,04/01/2016,1547.77
Consumer,Furniture,Central,06/01/2016,3234.12
Consumer,Furniture,Central,07/01/2016,205.98
Consumer,Furniture,Central,08/01/2016,8250.49
Consumer,Furniture,Central,09/01/2016,17.44
Consumer,Furniture,Central,10/01/2016,1818.41
Consumer,Furniture,Central,12/01/2016,13620.81
Consumer,Furniture,Central,01/01/2017,1259.92
Consumer,Furniture,Central,02/01/2017,3709.43
Consumer,Furniture,Central,04/01/2017,507.76
Consumer,Furniture,Central,05/01/2017,286.65
Consumer,Furniture,Central,06/01/2017,371.47
Consumer,Furniture,Central,07/01/2017,78.62
Consumer,Furniture,Central,08/01/2017,965.32
Consumer,Furniture,Central,09/01/2017,1383.22
Consumer,Furniture,Central,10/01/2017,2254.48
Consumer,Furniture,Central,11/01/2017,16.73
Consumer,Furniture,Central,12/01/2017,13123.74
Consumer,Furniture,Central,01/01/2018,726.98
Consumer,Furniture,Central,02/01/2018,5586.94
Consumer,Furniture,Central,03/01/2018,517.13
Consumer,Furniture,Central,04/01/2018,2128.82
Consumer,Furniture,Central,05/01/2018,4603.29
Consumer,Furniture,Central,06/01/2018,43.47
Consumer,Furniture,Central,07/01/2018,599.56
Consumer,Furniture,Central,09/01/2018,334.17
Consumer,Furniture,Central,10/01/2018,440.01
Consumer,Furniture,Central,11/01/2018,38312.01
Consumer,Furniture,Central,12/01/2018,18707.27
Consumer,Furniture,Central,01/01/2019,7368.24
Consumer,Furniture,Central,02/01/2019,20.51
Consumer,Furniture,Central,03/01/2019,1517.87
Consumer,Furniture,Central,05/01/2019,854.52
Consumer,Furniture,Central,06/01/2019,1362.33
Consumer,Furniture,Central,07/01/2019,9271.43
Consumer,Furniture,Central,08/01/2019,7011.8
Consumer,Furniture,Central,09/01/2019,3183.7
Consumer,Furniture,Central,10/01/2019,1626.07
Consumer,Furniture,Central,11/01/2019,5731.02
Consumer,Furniture,Central,12/01/2019,7323.44
Consumer,Furniture,East,01/01/2016,5186.98
Consumer,Furniture,East,02/01/2016,181.43
Consumer,Furniture,East,03/01/2016,1828.22
Consumer,Furniture,East,04/01/2016,11901.21
Consumer,Furniture,East,05/01/2016,4849.13
Consumer,Furniture,East,06/01/2016,3171.32
Consumer,Furniture,East,07/01/2016,318.18
